iata,ident,name,city,state,type,latitude,longitude,elevation_ft,scheduled_service,runway_count,longest_runway_ft,source
KPY,KPY,Port Bailey Seaplane Base,Port Bailey,AK,seaplane_base,57.931257,-153.040838,,yes,1,10000,OurAirports airports and runways cache
KQA,PAUT,Akutan Airport,Akutan,AK,small_airport,54.14459,-165.604332,133.0,yes,1,4500,OurAirports airports and runways cache
KSM,PASM,St Mary's Airport,St Mary's,AK,small_airport,62.060501,-163.302002,312.0,yes,2,5997,OurAirports airports and runways cache
KTB,KTB,Thorne Bay Seaplane Base,Thorne Bay,AK,seaplane_base,55.682762,-132.532883,,yes,1,5000,OurAirports airports and runways cache
KTN,PAKT,Ketchikan International Airport,Ketchikan,AK,medium_airport,55.35559845,-131.7140045,89.0,yes,2,9500,OurAirports airports and runways cache
KTS,PFKT,Brevig Mission Airport,Brevig Mission,AK,small_airport,65.331826,-166.467848,38.0,yes,2,2990,OurAirports airports and runways cache
KUK,PFKA,Kasigluk Airport,Kasigluk,AK,small_airport,60.872747,-162.5247,48.0,yes,1,3000,OurAirports airports and runways cache
KVC,PAVC,King Cove Airport,King Cove,AK,small_airport,55.116299,-162.266006,155.0,yes,1,3500,OurAirports airports and runways cache
KVL,PAVL,Kivalina Airport,Kivalina,AK,small_airport,67.734565,-164.559917,13.0,yes,1,3000,OurAirports airports and runways cache
KWK,PAGG,Kwigillingok Airport,Kwigillingok,AK,small_airport,59.876499,-163.169005,18.0,yes,1,1835,OurAirports airports and runways cache
KWN,PAQH,Quinhagak Airport,Quinhagak,AK,small_airport,59.7551,-161.845,42.0,yes,1,4000,OurAirports airports and runways cache
KWP,KWP,West Point Village Seaplane Base,West Point,AK,seaplane_base,57.7700996399,-153.548995972,,yes,1,10000,OurAirports airports and runways cache
KWT,PFKW,Kwethluk Airport,Kwethluk,AK,small_airport,60.790298,-161.444,25.0,yes,1,3199,OurAirports airports and runways cache
KXA,KXA,Kasaan Seaplane Base,Kasaan,AK,seaplane_base,55.537399,-132.397995,,yes,1,2000,OurAirports airports and runways cache
KYK,PAKY,Karluk Airport,Karluk,AK,small_airport,57.565919,-154.453762,137.0,yes,1,2000,OurAirports airports and runways cache
KYU,PFKU,Koyukuk Airport,Koyukuk,AK,small_airport,64.876099,-157.727005,149.0,yes,1,4000,OurAirports airports and runways cache
KZB,KZB,Zachar Bay Seaplane Base,Zachar Bay,AK,seaplane_base,57.553001,-153.746052,,yes,0,0,OurAirports airports and runways cache
LAF,KLAF,Purdue University Airport,West Lafayette,IN,medium_airport,40.412875,-86.939363,606.0,yes,2,6600,OurAirports airports and runways cache
LAL,KLAL,Lakeland Linder International Airport,Lakeland,FL,medium_airport,27.989267,-82.020715,142.0,yes,2,8500,OurAirports airports and runways cache
LAN,KLAN,Capital Region International Airport,Lansing,MI,medium_airport,42.777582,-84.585721,861.0,yes,3,8506,OurAirports airports and runways cache
LAR,KLAR,Laramie Regional Airport,Laramie,WY,medium_airport,41.31209945678711,-105.6750030517578,7284.0,yes,2,8503,OurAirports airports and runways cache
LAS,KLAS,Harry Reid International Airport,Las Vegas,NV,large_airport,36.083361,-115.151817,2181.0,yes,4,14835,OurAirports airports and runways cache
LAW,KLAW,Lawton Fort Sill Regional Airport,Lawton,OK,medium_airport,34.567699,-98.416603,1110.0,yes,1,8599,OurAirports airports and runways cache
LAX,KLAX,Los Angeles International Airport,Los Angeles,CA,large_airport,33.942501,-118.407997,125.0,yes,4,12894,OurAirports airports and runways cache
LBB,KLBB,Lubbock Preston Smith International Airport,Lubbock,TX,medium_airport,33.663601,-101.822998,3282.0,yes,3,11500,OurAirports airports and runways cache
LBE,KLBE,Arnold Palmer Regional Airport,Latrobe,PA,medium_airport,40.275902,-79.4048,1199.0,yes,2,8222,OurAirports airports and runways cache
LBF,KLBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,medium_airport,41.12620163,-100.6839981,2777.0,yes,2,8001,OurAirports airports and runways cache
LBL,KLBL,Liberal Mid-America Regional Airport,Liberal,KS,medium_airport,37.0442009,-100.9599991,2885.0,yes,2,7105,OurAirports airports and runways cache
LCH,KLCH,Lake Charles Regional Airport,Lake Charles,LA,medium_airport,30.126100540161133,-93.22329711914062,15.0,yes,2,6500,OurAirports airports and runways cache
LCK,KLCK,Rickenbacker International Airport,Columbus,OH,medium_airport,39.813801,-82.927803,744.0,yes,3,12103,OurAirports airports and runways cache
LEB,KLEB,Lebanon Municipal Airport,Lebanon,NH,medium_airport,43.6260986328,-72.30419921880001,603.0,yes,2,5496,OurAirports airports and runways cache
